jamaat,jamiat,arabic_jamaat
"SHEOPUR KALAN",RAMPURA,شوپوركلان
"CHHOTI SADRI (SAGHIR)",RAMPURA,"صادري الصغير"
SUWASRA,RAMPURA,سواسره
"JHALRA PATAN",RAMPURA,"جهالرٌا ثثاطن"
RAMPURA,RAMPURA,رامپوره
"RATANGARH KHERI",RAMPURA,"رتنگرهـ كهيري"
BUNDI,RAMPURA,بوندي
"BARI SADRI",RAMPURA,"صادري كبير"
BHANPURA,RAMPURA,بهانپوره
BARAN,RAMPURA,باران
NIMBAHEDA,RAMPURA,نيمباهيرا
JAWAD,RAMPURA,جاود
CHECHAT,RAMPURA,ححيححت
MANASA,RAMPURA,مناسا
"KOTAH (JUNCTION)",RAMPURA,"كوطه جنكشن"
SITAMAU,RAMPURA,سيتامؤ
KHANPUR,RAMPURA,خانثثور
"BHAWANI MANDI",RAMPURA,"بهواني مندي"
CHITTORGARH,RAMPURA,"ححتور ككرٌهـ "
SHAMGARH,RAMPURA,شامككرهـ
PIPLIYA,RAMPURA,ثثيثثليا
"RAMGANJ MANDI",RAMPURA,"رامككنج مندي"
ANTA,RAMPURA,انضضا
AKLERA,RAMPURA,اكليرا
BEGU,RAMPURA,بيككو
"BURHANI MOHALLA (MANDASAUR)",RAMPURA,"برهاني نككر (مندسور)"
CHABRA,RAMPURA,ححهبرا
CHIPABAROD,RAMPURA,"  ححهيثثابارود"
DHARIYAWAD,RAMPURA,دهرياود
GANGDHAR,RAMPURA,ككنككدهار
GAROTH,RAMPURA,ككروضضهـ
HARNODA,RAMPURA," هرنودا "
JEERAN,RAMPURA,جيرن
JHALAWAR,RAMPURA,"  جهالاور "
"KOTAH JUNCTION",RAMPURA,0
MANORTHANA,RAMPURA,"  منورتهانا"
NAHARGARH,RAMPURA,"نظظارككرهـ "
NARAINGARH,RAMPURA," نارائنككرٌهـ"
"NEEMUCH CITY",RAMPURA,"نيمحح سيضضي"
PACHPAHAR,RAMPURA,PACHPAHAR
PARDA,RAMPURA,ثثردا
SANKOT,RAMPURA,سانكوط
SARTHAL,RAMPURA,"  سارتهل"
CHICAGO,U.S.A.,شيكاككو
HOUSTON,U.S.A.,هيوسضضن
MISSISSAUGA,U.S.A.,ميسيساككا
TORONTO,U.S.A.,تورنتو
"NEW JERSEY",U.S.A.,"نيو جرسي"
DALLAS,U.S.A.,0
"NEW YORK",U.S.A.,نيويارك
"ORANGE COUNTY (CALIFORNIA)",U.S.A.,"اورينج كاؤنتى"
"LOS ANGELES",U.S.A.,"لوس انجليز"
DETROIT,U.S.A.,"ديضض رائت"
FREMONT,U.S.A.,"فريمونضض (سانفرانسـسكو)"
"SAN JOSE (CALIFORNIA)",U.S.A.," سين هوزسس"
BOSTON,U.S.A.,بوسضضن
CALGARY,U.S.A.,كيلككيري
"WASHINGTON D.C.",U.S.A.,"واشنككتن ديسي"
SEATTLE,U.S.A.,سياضضل
ATLANTA,U.S.A.,اتلانتا
VANCOVER,U.S.A.,وينكوور
VIRGINIA,U.S.A.,ورجينيا
TAMPA,U.S.A.,ضضامثثا
"EDMONTON (CANADA)",U.S.A.,ايدمنتن
"SAN DIEGO",U.S.A.,"سين دياككو"
MINNEAPOLIS,U.S.A.,مينياثثولس
OTTAWA,U.S.A.,0
PHILADELPHIA,U.S.A.,فيلاديلفيا
"SAN ANTONIO",U.S.A.,"سين اينتونيو"
MONTREAL,U.S.A.,0
COLOMBUS,U.S.A.,كولمبس
ALBANY,U.S.A.,الباني
AUSTIN,U.S.A.,اوستين
BAKERSFIELD,U.S.A.,"بيكرس فيلد"
CHARLOTTE,U.S.A.,شارلوت
"CLARK COUNTY, NEVADA",U.S.A.,"Clark County, Nevada"
CLEVELAND,U.S.A.,"كليو ليند"
COLUMBIA,U.S.A.,كولمبيا
CONNECTICUT,U.S.A.,connecticut
DANVEILLE,U.S.A.,Danveille
"JERSEY CITY",U.S.A.,"جرسي سيضضي"
"KANSAS, MO",U.S.A.,"كانساس مو"
KENTUCKY,U.S.A.,Kentucky
LATHROP,U.S.A.,Lathrop
MIAMI,U.S.A.,ميامي
"MILWAUKEE, WI",U.S.A.,ميلووكي
"NASHVILLE, TN",U.S.A.,"ناشفيل تن"
"NORTH CHICAGO",U.S.A.,"نورتهـ  ويست (شيكاككو)"
ORLANDO,U.S.A.,اورليندو
PHEONIX,U.S.A.,فينكس
PITTSBURGH,U.S.A.,ثثيتسبركك
"PLANO, TX",U.S.A.,ثثلانو
POCONOS,U.S.A.,ثثوكونوس
PORTLAND,U.S.A.,"ثثورضض ليندٌ"
RALEIGH,U.S.A.,رالسس
"RED DEER",U.S.A.,"ريد دير"
SACRAMENTO,U.S.A.,سيكريمنتو
"SAN FRANCISCO DOWNTOWN",U.S.A.,"San Francisco Downtown"
"SOUTH JERSEY",U.S.A.,"ساؤتهـ جرسي"
SPARTANBURG,U.S.A.,سثثارتنبركك
"ST. LOUIS, MO",U.S.A.,"ST. Louis MO"
"TUCSON, AZ",U.S.A.,توسون
WINDSOR,U.S.A.,"وندسر "
WISCONSIN,U.S.A.,Wisconsin
"WOODLAND, TX",U.S.A.,"ودليند - هيوستن"
UJJAIN,UJJAIN,اُجين
RATLAM,UJJAIN,رتلام
DEWAS,UJJAIN,ديواس
JAORA,UJJAIN,جاؤره
SHAJAPUR,UJJAIN,شاهجاپور
KHACHRAUD,UJJAIN,كهاچرود
BARNAGAR,UJJAIN,برنگر
SARANGPUR,UJJAIN,سارنگپور
SAILANA,UJJAIN,سيلانه
ALOTE,UJJAIN," اْلوضض"
TARANA,UJJAIN,ترانا
NALKHERA,UJJAIN,نلكهيرا
GAUTAMPURA,UJJAIN,ككوتمثثوره
MAHEDPUR,UJJAIN,مهدثثور
"IBRAHIM MOH (UJJAIN)",UJJAIN,"ابراهيم محلة - اجين"
AGAR,UJJAIN,آككر
AKODIA,UJJAIN,آكوديا
ANGURIA,UJJAIN,اككوريا
BALERI,UJJAIN,بليري
BAROD,UJJAIN,برود
BARODIA,UJJAIN,باروديا
BHANURASA,UJJAIN,"بهنو راسا"
"BURHANI MOHALLA (RATLAM)",UJJAIN,"رتلام – برهاني محلة"
CHOBARA,UJJAIN,ححوباره
"HAKIMI MOHALLA (UJJAIN)",UJJAIN,"حكيمي محلة -  اجين"
"KALIMI MOHALLA (RATLAM)",UJJAIN,"كليمي كولوني - رتلام"
KALISINGH,UJJAIN,"كالي سنككهـ"
MAKSI,UJJAIN,"مكسي "
NAGDA,UJJAIN,ناككدا
"NAJMI MOHALLA (RATLAM)",UJJAIN,"نجمي محلة (رتلام)"
"SAIFEE MOHALLAH (UJJAIN)",UJJAIN," سيفي محلة (اجين)"
SHIVGARH,UJJAIN,"شيؤ ككرٌهـ"
SHUJALPUR,UJJAIN,شجالثثور
SONKUTCH,UJJAIN,سونكححهـ
SUSNER,UJJAIN,سُسنير
TAAL,UJJAIN,تال
DARESSALAAM,"EAST AFRICA",دارالسلام
MOMBASA,"EAST AFRICA",ممباسا
NAIROBI,"EAST AFRICA",نيروبي
TANGA,"EAST AFRICA"," تهانككه"
ARUSHA,"EAST AFRICA",اروشا
MALINDI,"EAST AFRICA",ملندي
ZANZIBAR,"EAST AFRICA",زنجبار
MOROGORO,"EAST AFRICA",موروككورو
ELDORET,"EAST AFRICA",ايلدوريضض
"ADDIS ABABA","EAST AFRICA","ادي سبابا"
NAKURU,"EAST AFRICA",نكورو
MOSHI,"EAST AFRICA",موشي
MUWANZA,"EAST AFRICA",موانزا
JIMMA,"EAST AFRICA","جما "
"KINSHASHA, CONGO","EAST AFRICA",0
MARIAKANI,"EAST AFRICA",مارياكاني
KITUI,"EAST AFRICA",كيتوئي
KISUMU,"EAST AFRICA",كيسومو
BOTSWANA,"EAST AFRICA",Botswana
DURBAN,"EAST AFRICA","دربن (ساتهـ  افريقة)"
ENTEBEE,"EAST AFRICA",Entebee
"GABORONE (BOSTSWANA)","EAST AFRICA","ككيبرون (بوتسوانا)"
IRINGA,"EAST AFRICA",ارينككا
KAMPALA,"EAST AFRICA",كمثثالا
KOROGWE,"EAST AFRICA",كوروككوسس
LAMU,"EAST AFRICA",لامو
"LUBUMBASHI, CONGO","EAST AFRICA",0
"LUSAKA (ZAMBIA)","EAST AFRICA","لوساكا (زامبيا)"
RABAI,"EAST AFRICA",ربائي
"WELKOM ( SOUTH AFRICA )","EAST AFRICA","Welkom ( south Africa )"
TANANARIVE,"INDIAN OCEAN",تناناريو
REUNION,"INDIAN OCEAN","ري يونين"
MAJUNGA,"INDIAN OCEAN",مجونگا
TAMATAVE,"INDIAN OCEAN",طماطاؤ
"DEIGO SUAREZ","INDIAN OCEAN",ديگوز
TULEAR,"INDIAN OCEAN",تليار
NOSSIBE,"INDIAN OCEAN",نوصيبسس
MAYOTE,"INDIAN OCEAN",مايوضض
"FORT DAUPIN","INDIAN OCEAN",فوردوفين
AMBANJA,"INDIAN OCEAN",امبانجا
SAMBAVA,"INDIAN OCEAN",سمباوا
MORONI,"INDIAN OCEAN",موروني
MARUNCHET,"INDIAN OCEAN",0
MAURITIUS,"INDIAN OCEAN",موريشيس
AMBILOBE,"INDIAN OCEAN","اْمبي لوبي"
ANJOUAN,"INDIAN OCEAN",اْنجوا
IHOSY,"INDIAN OCEAN",اهوسي
MARVAI,"INDIAN OCEAN",MARVAI
METRAN,"INDIAN OCEAN",ميضضران
MORONDAVA,"INDIAN OCEAN",مورونداوا
ONJWA,"INDIAN OCEAN",Onjwa
"PORT BERGER","INDIAN OCEAN","PORT BERGER"
VOHEMAR,"INDIAN OCEAN","ووهيمار "
JAMNAGAR,JAMNAGAR,جامنگر
RAJKOT,JAMNAGAR,راجكوضض
"QUTBI MOHALLAH (RAJKOT)",JAMNAGAR," قطبي محلة  (راجكوضض)"
LIMBDI,JAMNAGAR,ليمرٌي
MORBI,RAJKOT,موربي
"MAHUVA BUNDAR",JAMNAGAR,"مهوه بندر"
JASDAN,JAMNAGAR,جسدن
SURENDRANAGAR,JAMNAGAR,سريندرنگر
AMRELI,JAMNAGAR,امريلي
JUNAGADH,JAMNAGAR,جوناككدٌهـ
DHORAJI,JAMNAGAR,دهوراجي
GONDAL,JAMNAGAR,ككوندل
PORBUNDAR,JAMNAGAR,پوربندر
KALAWAD,JAMNAGAR,كالاوار
"WADHWAN CITY",JAMNAGAR,"ودهوان سيتي"
BAGASRA,JAMNAGAR,بگسره
PALITANA,JAMNAGAR,پاليطانـه
BHUJ,JAMNAGAR,بهج
"KUTCH MANDVI",JAMNAGAR,"كچهـ ماندوي"
WAKANER,JAMNAGAR,وانكانير
GARIYADHAR,JAMNAGAR,ككاريادهر
JETPUR,JAMNAGAR,جيضضثثور
VISAWADAR,JAMNAGAR,ويساودر
RAJULA,JAMNAGAR,راجوله
BOTAD,JAMNAGAR,بوضضاد
DHARI,JAMNAGAR,دهاري
MUNDRA,JAMNAGAR,موندرا
CHALALA,JAMNAGAR,ححلالة
BABRA,JAMNAGAR,بابرا
DAMNAGAR,JAMNAGAR,0
LATHI,JAMNAGAR,لاضضهي
UPLETA,JAMNAGAR,اُثثليتا
BHAVNAGAR,JAMNAGAR,بهاؤنگر
RANPUR,JAMNAGAR,رانثثور
GHOGHA,JAMNAGAR,ككهوككها
LAKHTAR,JAMNAGAR,لكهتر
MITHAPUR,JAMNAGAR,ميضضهاثثور
AAMRAN,JAMNAGAR,اْمرن
ANJAR,JAMNAGAR,​انجار
ATKOT,JAMNAGAR,ATKOT
BHANWAD,JAMNAGAR,"بهانواد "
CHITAL,BHAVNAGAR,ححيتل
CHONTILA,JAMNAGAR,ححونضضيلا
CHOWK,JAMNAGAR,"ححوك "
CHURA,JAMNAGAR,ححورٌا
DEDAN,JAMNAGAR,ديدان
DHRANGADHRA,JAMNAGAR,دهرانگدهرا
DHROL,JAMNAGAR,دهرول
DUNGAR,JAMNAGAR,دونككر
GADHAKRA,JAMNAGAR,ككادهكرا
GANDHIDHAM,JAMNAGAR,ككاندهيدهام
HALWAD,JAMNAGAR,هلود
HANOL,JAMNAGAR,"هنول "
"HATEMI MOHALLA (RAJKOT)",JAMNAGAR,"حاتمي محلة  (راجكوضض)"
JESAR,JAMNAGAR,جيسر
JODIA,JAMNAGAR,جوريا
KHAMBALIA,JAMNAGAR,كهمباليه
"KOTRA PITHA",JAMNAGAR,"كوترا ثثيضضها"
"KOTRA SANGANI",JAMNAGAR,"كوترا سانككاني"
KUTYANA,JAMNAGAR,كتيانـه
KUWARWA,JAMNAGAR,كواروا
LILYA,JAMNAGAR,ليليا
MAJEVADI,JAMNAGAR,Majevadi
MENDARDA,JAMNAGAR,ميندردا
MULI,JAMNAGAR,"مولي "
NALYA,JAMNAGAR,نليا
PALIYAD,JAMNAGAR,Paliyad
PARDHARI,JAMNAGAR,ثثردهري
RAJAPARA,JAMNAGAR,راجاثثاره
SAILA,JAMNAGAR,سائيلا
SALAYA,JAMNAGAR,Salaya
SAPER,JAMNAGAR,ساثثير
SARA,JAMNAGAR,"Sara "
SARDHAR,JAMNAGAR,سردهار
SAVARKUNDLA,JAMNAGAR,ساوركندلا
"SEHORE (GUJ)",JAMNAGAR,سيهور
"SHAPUR (GUJ)",JAMNAGAR,"Shapur (Guj)"
SHIVRAJGARH,JAMNAGAR,"شيوراج ككرٌهـ"
SITAPUR,JAMNAGAR,"Sitapur "
"TAHERI MOHALLA (JAMNAGAR)",JAMNAGAR,"طاهري محلة (جامنگر)"
TALAJA,JAMNAGAR,تلاجا
TANKARA,JAMNAGAR,تنكارا
THANGAD,JAMNAGAR,تهانككدٌهـ
UNA,JAMNAGAR,اُونا
"VAJIHI MOHALLA (RAJKOT)",JAMNAGAR,"وجيظظي محلة - راجكوضض"
VALABHIPUR,JAMNAGAR,ولبهبيثثور
VANTHLI,JAMNAGAR,ونتهلي
VERAWAL,JAMNAGAR,ويراول
VICHIYA,JAMNAGAR,ويـححهيا
"ZAKAVI COLONY (JAMNAGAR)",JAMNAGAR,"زكوي كولوني (جامنككر)"
"ZAKAVI MOHALLAH (RAJKOT)",JAMNAGAR,"زكوي محلة - راجكوضض"
KUWAIT,KUWAIT,كويت
"KHAITAN (KUWAIT)",KUWAIT," طاهري محلة (كويت)"
"HAWALLI (KUWAIT)",KUWAIT,"حكيمي محلة – حولّي (كويت)"
"FAHAHIL (KUWAIT)",KUWAIT,"فحاحيل  (كويت)"
"ABRAQ KHAITAIN (KUWAIT)",KUWAIT,"سيفي محلة - ابرق خيطان  (كويت)"
"ABBASIYA (KUWAIT)",KUWAIT,"عزي محلة (كويت)"
"MIRQAB - KUWAIT",KUWAIT,"برهاني محلة (كويت)"
"JAHRA (KUWAIT)",KUWAIT,0
"MOHAMMEDI MOHALLA (KUWAIT)",KUWAIT,"محمدي محلة (كويت)"
MADRAS,MADRAS,مدراس
BANGALORE,MADRAS,بينگلور
SECUNDERABAD,MADRAS,سكندراْباد
"MOHAMMEDI MOHALLA (MADRAS)",MADRAS,"محمدي محلة (مدراس)"
COIMBATORE,MADRAS,كوئمبتور
"SAIFEE NAGAR (BANGALORE)",MADRAS,"سيفي نككر (بينگلور)"
HYDERABAD,MADRAS,حيدراْباد
"HUSAINI ALAM (HYDERABAD)",MADRAS,"حيدراْباد حسيني علم"
"VAJIHI MOHALLA (BANGALORE)",MADRAS,"وجيظظي محلة (بينككلور)"
"DAWOODI MOHALLAH (MADRAS)",MADRAS,"داودي محلة ( مدراس)"
VISHAKHAPATNAM,MADRAS,ويشاكهاثثتنم
COCHIN,MADRAS,كوچين
CALICUT,MADRAS,كليكت
ERODE,MADRAS,ايرود
SELAM,MADRAS,سيلم
KURNOOL,MADRAS,كرنول
ALLEPPY,MADRAS,الثثائي
"ANDAMAN NICOBAR",MADRAS,"andaman nicobar"
CANNANORE,MADRAS,كانانور
HOSAR,MADRAS,هوسر
HUBLI,MADRAS,هبلي
KAKINADA,MADRAS,"كاكينادا "
MANGALORE,MADRAS,مينككلور
MYSORE,MADRAS,ميسور
PONDICHERRY,MADRAS,ثثونديـححري
"PORT BLAIR",MADRAS,"Port Blair"
QUILON,MADRAS,كوئيلون
TRICHNAPALLI,MADRAS,ترححناثثلي
TRIPUR,MADRAS,تريثثور
TRIVANDRUM,MADRAS,تريوندرم
NAGPUR,NAGPUR,ناگپور
RAIPUR,NAGPUR,رائثثور
"SAIFEE MOHALLAH (NAGPUR)",NAGPUR,"سيفي محلة   (ناككثثور)"
AMRAVATI,NAGPUR,امراؤتي
BILASPUR,NAGPUR,بلاسپور
AKOLA,NAGPUR,اْكوله
CHANDRAPUR,NAGPUR,0
YAVATMAL,NAGPUR,ايوتمحل
BETUL,NAGPUR,بيتول
SEONI,NAGPUR,سيؤني
RAJNANDGAON,NAGPUR,راجنندككام
WARDHA,NAGPUR,وردها
ARVI,NAGPUR,اْروي
MANINDRAGARH,NAGPUR,منيندرككرهـ
DHAMTARI,NAGPUR,دهمتري
PULGAON,NAGPUR,ثثلككاؤطط
"CHANDOOR BAZAAR",NAGPUR,"ححاندور بزار"
TAKHATPUR,NAGPUR,تختثثور
SAMBALPUR,NAGPUR,سنبـهلثثور
ACHALPUR,NAGPUR,اححلثثور
AKOT,NAGPUR,اْكوت
AMBIKAPUR,NAGPUR,"امبيكا ثثور"
AMLA,NAGPUR,آمله
ANUPPUR,NAGPUR,"انوثث ثثور"
BALAGHAT,NAGPUR,بالاككهاضض
BALHARSHA,NAGPUR,بلهارشاه
BASIM,NAGPUR,باسم
BEKUNDPUR,NAGPUR,بيكندثثور
BHATAPARA,NAGPUR,بهاضضاثثاره
"BHILAI NAGAR",NAGPUR,"بهيلائي نككر"
BHINDARA,NAGPUR,بهندارا
BORHAR,NAGPUR,برهار
CHAMPA,NAGPUR,ححانثثا
CHANDHWARA,NAGPUR,ححندهوارا
"CHANDOOR STATION",NAGPUR,"ححاندور اسضضيشن"
CHIPARA,NAGPUR,ححهيثثارا
DARVA,NAGPUR,0
DHAMANGAON,NAGPUR,دهمنككاؤطط
DONGARGAON,NAGPUR,DONGARGAON
DURG,NAGPUR,دركك
GONDIA,NAGPUR,ككونديا
HINGINGHAT,NAGPUR,هنككنككهاضض
JETHARI,NAGPUR,جيتهاري
KATOL,NAGPUR,كاتول
KOTMA,NAGPUR,كوتما
MAHASAMUN,NAGPUR,"مها سمون"
MULTAI,NAGPUR,ملتائي
MUNGELI,NAGPUR,مونككيلي
MURTAZAPUR,NAGPUR,"مرتضى ثثور"
PARATWARA,NAGPUR,"ثثرت وارٌه"
PATANGAM,NAGPUR,ثثاتنككام
PITHORA,NAGPUR,ثثيتهورا
POSAD,NAGPUR,0
RAIGARH,NAGPUR,رائيككرهـ
RAJIM,NAGPUR,راجم
RALEGAON,NAGPUR,0
ROURKELA,NAGPUR,روركيلا
SHADOL,NAGPUR,شهدول
VARORA,NAGPUR,وروره
NASIK,NASIK,ناسك
AURANGABAD,NASIK,اورنگاباد
SHAHADA,NASIK,شاهده
DHULIA,NASIK,دهوليا
RANALA,NASIK,رناله
"DEOLALI CAMP",NASIK,ديؤلالي
NANDURBAR,NASIK,نندربار
MANMAD,NASIK,منمارٌ
MALEGAON,NASIK,ماليگام
SANGAMNER,NASIK,سنككمنير
TALODA,NASIK,تلودا
PANSEMAL,NASIK,ثثانسيمل
NAMPUR,NASIK,"نام ثثور"
PETHAN,NASIK,ثثيضضهن
Hingoli,NASIK,هنككولي
PARKASHA,NASIK,ثثركاشا
SATANA,NASIK,سضضانا
KHETIA,NASIK,كهيتيا
PIMPALNER,NASIK,ثثمثثلنير
GHOTI,NASIK,ككهوتي
YEOLA,NASIK,ايؤله
JALNA,NASIK,جالنا
SANDKHERA,NASIK,"سند كهيرا"
KANNAD,NASIK,كنّاد
PARBHANI,NASIK,ثثربهاني
DAHIWELL,NASIK,دهيويل
NANDED,NASIK,نانديد
SONGIR,NASIK,سونككير
NARDANA,NASIK,نردانه
BEAD,NASIK,بيدٌ
DONGAM,NASIK,دونككام
KALMOH,NASIK,كلموه
NIZAMPUR,NASIK,نظامثثور
CHALISGAON,NASIK,ححاليسككام
JEORAI,NASIK,جيؤرائي
KORID,NASIK,كوريد
RAKESHBHAVAN,NASIK,راكيشبهون
SAAMODA,NASIK,ساموده
SAKRI,NASIK,ساكري
SANNER,NASIK,سننير
DONDAICHA,NASIK,دوندائيححه
"JAMALI PARK (AURANGABAD)",NASIK,"جمالي  ثثارك  (اورنگاباد)"
"NASIK (ZAINEE MOHALLA)",NASIK,0
LONDON,U.K.,لندن
PARIS,U.K.,پيرس
MANCHESTER,U.K.,مانـححسضضر
LEICESTER,U.K.,ليستر
MARSEILLE,U.K.,مارسائي
CROYDON,U.K.,كرويدن
BIRMINGHAM,U.K.,برمنگهام
BRADFORD,U.K.,بريدفورد
"EAST - LONDON",U.K.," ايسضض - لندن"
NOTTINGHAM,U.K.,نوتنككهام
FRANKFURT,U.K.,"فرينك فورضض"
DUBLIN,U.K.,دبلن
"Milton Keynes",U.K.,"ميلتن كينز"
JONKOPING,U.K.,جونكوثثينكك
"MONDAL (SWEDEN)",U.K.,موندال
MARIESTAD,U.K.,ميريستاد
Toulon,U.K.,تولون
BERLIN,U.K.,Berlin
ROTTERDAM,U.K.,روترديم
OSLO,U.K.,اوسلو
STRASBOURG,U.K.,ستراسبركك
BELGIUM,U.K.,Belgium
"OSLO NORWAY",U.K.,"اوسلو (نوروسس)"
Lisbon,U.K.,لسبن
ITALY,U.K.,Italy
Toulouse,U.K.,تولوس
COPENHAGEN,U.K.,"كوثثين هيككن"
ANGERS,U.K.,انككرز
ANTWERP,U.K.,انتورثث
CARDIFF,U.K.,كارديف
GERMANY,U.K.,جرمني
GRENOBLE,U.K.,"ككري نوبل"
HOLLAND,U.K.,هوليند
LIMOGES,U.K.,ليموككـز
NANTES,U.K.,نانتيس
SWITZERLAND,U.K.,سويتزرليند
"TENERIFE (SPAIN)",U.K.,تينيريف(سثثين)
TILBURG,U.K.,تلبركك
Zurich,U.K.,زورحح
GLASGOW,U.K.,ككلاسككو
MERIGNAC,U.K.,"ميريكك نيك"
PORTUGAL,U.K.,ثثورححوككل
SPAIN,U.K.,سثثين
"KHI (AL-MAHALAT-TUL-BURHANIYAH)",PAKISTAN,"المحلة البرهانية (كراچي)"
KARACHI,PAKISTAN,0
"KHI (SALEH MOHALLA)",PAKISTAN," صالح محلة (كراچي)"
"KHI (AL-MAHALAT-TUL-MOHAMMEDIYAH)",PAKISTAN," المحلة المحمدية (كراچي)"
"KHI (ADAM MOHALLA)",PAKISTAN," اْدم محلة (كراچي)"
"KARACHI (YUSUFI MOHALLA)",PAKISTAN,"كراچي (يوسفي محلة)"
"KHI (HASANI MOHALLA)",PAKISTAN," حسني محلة (كراچي)"
"KHI (BURHANI MOHALLA)",PAKISTAN," برهاني محلة (كراچي)"
"KHI (BURHANI BAUGH)",PAKISTAN,"برهاني باغ  (كراچي)"
"KHI (ESSA MOHALLA)",PAKISTAN," عيسىْ محلة  (كراچي)"
"KHI (MOHAMMEDI MOHALLA)",PAKISTAN," محمدي محلة (كراچي)"
"KHI (IBRAHIM MOHALLAH)",PAKISTAN," ابراهيم  محلة (كراچي)"
"KHI (AL-MAHALLATUL-FAKHRIYAH)",PAKISTAN,"المحلة الفخرية (كراچي)"
"HYDERABAD SIND",PAKISTAN,"حيدراْباد سند"
RAWALPINDI,PAKISTAN,راولثثندي
"KHI (HUSAINI MOHALLA DEFENCE)",PAKISTAN,0
"KHI (SAIFEE MOHALLA)",PAKISTAN,"سيفي محلة (كراچي)"
"BADRI MOHALLA (HYDERABAD SIND)",PAKISTAN,"بدري محلة  - حيدراْباد سند"
"KHI (JAMALI MOHALLA) MAHALAT BURHANIYAH",PAKISTAN,"جمالي محلة  (كراچي)"
LAHORE,PAKISTAN,لاهور
"KHI (QUTBI MOHALLA)",PAKISTAN,"قطبي محلة (كراچي)"
"KHI (EZZY MOHALLA)",PAKISTAN,"عزي محلة (كراچي)"
MULTAN,PAKISTAN,ملتان
ABOTTABAD,PAKISTAN,ايبطاباد
QUETTA,PAKISTAN,كوئطه
"TAHERI MOHALLA KHI",PAKISTAN,"طاهري محلة -كراححي"
PESHAWAR,PAKISTAN,پيشاور
SIALKOT,PAKISTAN,SIALKOT
"KHI (YUSUFI MOHALLA)",PAKISTAN,0
"KHI (TAHERI MOHALLA)",PAKISTAN,0
"LAGOS (NIGERIA)","EAST AFRICA","LAGOS (NIGERIA)"
"KARACHI JAMEA",PAKISTAN,0
"MAROL JAMEA","MAROL (SAIFEE PARK)","Marol Jamea"
"NAIROBI JAMEA","EAST AFRICA","Nairobi Jamea"
"SURAT JAMEA",SURAT,"Surat Jamea"
"SAIFEE MOHALLA (MUMBAI)",MUMBAI,"روضة طاهرة  – ممبئي "
ABERDEEN,,Aberdeen
"AKAMA TUS SAEEDAH (YEMEN)",,0
"AL ASHA",,0
"AMALSAR ",," املسار "
"AMMAR NAGAR (NOORANI NAGAR)",,"عمار نككر  (اندورنوراني نككر)"
AMSTERDAM,,Amsterdam
ANANDPURA,,"اْنند ثثوره"
ANTWERPEN,,Antwerpen
ATTARAH,,0
"BABUS SALAAM",,0
"BADRI MOHALLA (DOHAD)",,"بدري محلة  (دوحد)"
BAGALKOT,,"bagalkot "
"BAIT UL BARIQAH",,0
"BAMANIA ",,بامنيا
"BANDARAWELA ",,بندرويلا
"BANI SAIFY SUFLA",,0
"BANKHERI ",,"بنكهيري "
"BARMANDAL ",,بارمندل
BARRIE,,بيري
BARUPHATAK,,باروثثاتهك
"BARWANIA ",,بروانيا
"BHAMGARH ",,"بهامككرٌهـ "
"BHESOLA ",,"بهيسولا "
"BHILAD ",,بهيلاد
BRUSSEL,,Brussel
BUHAIT,,0
"BURHANI MOHALLA (MADRAS)",,"برهاني محلة   (مدراس )"
"BURHANI MOHALLA (UDAIPUR)",,"برهاني نككر  (اديثثور)"
"CHANDRAPUR ",,ححاندا
"CHOMEHLA ",,ححومحلا
"DAG ",,دكك
DAHAR,,0
"DAR US SHARAF",,0
"DEN HAAG",,"Den Haag"
DENMAL,,"دينمال "
"DHANDHALPUR ",,دهاندهلثثور
"DHARSEKRA ",,دهارسيكرا
"DUSSELDORF - COLOGNE ",,"Dusseldorf - Cologne "
EDINBURGH,,Edinburgh
"EDLABAD ",,ادلاباد
EINDHOVEN,,Eindhoven
"EL PASO",,الپاسو
"EMADI MOHALLA (SANAA)",,0
ERAIS,,0
FAISALABAD,,"فيسلا باد"
"FAIZPUR ",,"فيض ثثور"
"FAKHRI MOHALLA (YEMEN)",,0
"FATEMI MOHALLA (YEMEN)",,0
"GANJ BASUDA ",,"ككنج باسوده "
"GUJARAT PATAN ",,0
"HAMBURG ",,"Hamburg "
"HARIJ ",,"هريج "
HAZZAH,,0
HOWZAN,,0
"HUSAMI MOHALLA (BARODA)",,0
"JAMALI + ZAINEE MOHALLA (DUBAI)",,"جمالي  زيني محلة - دبي"
"JOHANNESBURG (SOUTH AFRICA)",,"جوهانيسبركك (ساؤتهـ  افريقة)"
KAAHIL,,0
"KAIRASRA ",,كئيراسرا
"KASARWADI ",,"كاسرواري (ثثونـه)"
"KHARIA ROAD ",,"كهريا رود"
KHEDA,,Kheda
"KHERABAD ",," كهيراباد "
"KHI (HUSAINI MOHALLA (DEFENCE)",," حسيني محلة (كراچي)"
"KHUJNERA ",,"كهجنيرا "
"KODENAR ",Bhavnagar,"كودينار "
"KOKAVA ",,"كوكاوا "
"KORBA ",,كوربا
"KUKRESHWAR ",,كوكريشور
"LAHJ - SHAWKAH",,0
"LONI ",,لوني
LUWERU,,لويرو
"Lyon ",,0
"MAGRABAT BANI AHLAS",,0
"MAMURA,QISHBA,DHARMA",,0
"MANDI BAMORAH ",,"ماندي با موره"
"MANGAULI ",,منككاؤلي
"MARKHAM ",,"ماركهم (ستو فويل)"
